the 0th hypergraph
24 184 936 990 
304 384 609 892 
141 238 553 725 
50 347 381 457 
34 269 417 918 
65 107 522 956 
202 316 556 913 
142 452 518 986 
227 236 309 868 
63 600 929 984 
365 655 744 831 
173 534 636 793 
51 225 572 810 
302 325 534 957 
12 362 659 707 
104 212 403 667 
174 181 370 518 
27 114 215 626 
102 238 402 874 
64 283 890 900 
495 568 838 894 
287 449 579 622 
10 726 833 908 
364 524 762 873 
533 547 604 747 
126 216 220 899 
471 619 636 939 
247 610 654 973 
459 463 746 870 
521 524 696 827 
68 161 368 395 
474 633 818 963 
288 382 410 981 
238 677 680 719 
320 430 514 899 
364 697 712 813 
173 627 776 875 
132 179 186 220 
283 362 457 898 
72 99 136 464 
127 204 431 823 
185 645 684 925 
274 321 637 686 
93 152 250 680 
101 203 793 833 
9 117 158 679 
259 310 703 852 
30 260 689 820 
84 152 815 996 
86 113 171 224 
75 646 751 834 
376 526 542 735 
76 209 244 515 
91 147 814 876 
227 305 317 614 
40 262 490 582 
244 492 598 883 
89 332 400 856 
96 389 780 813 
43 143 263 414 
418 442 513 529 
134 158 245 415 
279 558 597 849 
203 571 672 757 
20 400 531 666 
357 401 474 794 
23 90 325 545 
45 402 459 674 
472 478 587 981 
435 457 711 797 
405 660 779 869 
1 204 372 504 
33 465 848 850 
43 111 181 721 
177 192 564 986 
24 220 288 912 
214 391 535 609 
35 232 588 874 
209 462 833 988 
132 359 474 613 
477 588 593 852 
167 200 443 498 
289 327 364 821 
42 434 447 744 
54 420 854 908 
225 384 746 917 
283 380 591 918 
565 644 654 959 
178 323 432 818 
182 296 663 922 
183 312 603 685 
121 159 405 534 
330 388 499 643 
44 258 298 641 
142 299 359 949 
47 724 744 906 
30 59 97 605 
339 366 402 733 
510 660 701 925 
262 664 680 692 
161 323 852 856 
90 458 571 611 
96 213 231 765 
41 398 845 949 
167 413 585 734 
193 296 633 987 
223 536 569 675 
310 355 839 893 
537 650 787 796 
103 591 734 760 
236 328 496 839 
158 640 743 879 
58 434 435 509 
22 288 293 927 
24 156 404 577 
129 169 720 883 
64 831 855 933 
367 470 753 797 
93 236 636 723 
138 393 912 968 
127 362 604 808 
28 99 341 398 
166 570 613 895 
554 559 602 683 
78 217 257 978 
0 44 440 719 
298 352 490 933 
38 299 669 751 
227 268 417 442 
190 240 718 990 
19 178 547 935 
154 371 626 962 
73 644 781 805 
32 409 473 554 
515 601 667 977 
259 356 589 770 
183 241 696 757 
284 609 769 783 
141 294 407 528 
382 500 613 891 
367 457 729 993 
81 602 854 945 
212 472 473 688 
446 484 867 921 
65 352 452 931 
34 298 562 664 
92 407 672 778 
143 248 530 969 
179 222 361 869 
85 308 661 863 
33 316 711 782 
495 578 709 910 
271 707 727 966 
166 670 794 917 
71 170 450 478 
170 208 370 513 
346 394 617 891 
62 541 726 732 
175 447 603 685 
75 380 405 993 
365 844 846 857 
192 287 421 511 
134 145 436 841 
11 32 433 527 
20 269 374 705 
101 178 326 677 
8 685 860 904 
337 648 850 924 
21 650 759 848 
568 767 848 900 
84 534 601 703 
350 424 552 947 
227 347 532 676 
59 162 390 724 
177 389 790 895 
172 355 377 562 
73 111 118 478 
369 439 486 634 
148 278 713 767 
560 625 672 676 
210 585 595 718 
323 365 376 690 
550 730 835 851 
9 87 321 779 
324 394 816 977 
244 253 547 998 
17 198 635 981 
281 326 507 975 
250 383 530 924 
35 147 263 381 
213 434 565 647 
185 793 852 894 
131 264 321 681 
46 66 563 573 
40 164 255 500 
399 470 505 997 
824 851 887 947 
21 499 618 662 
256 281 522 676 
127 423 450 866 
95 220 463 945 
73 305 608 645 
308 432 557 891 
218 633 786 799 
118 283 420 898 
364 679 762 882 
187 701 764 971 
282 362 737 804 
410 528 535 729 
91 539 687 835 
155 546 652 777 
0 323 759 760 
192 404 626 714 
546 738 808 978 
123 151 618 911 
433 481 669 933 
55 331 458 632 
59 304 508 633 
45 214 717 812 
153 196 521 971 
67 132 567 802 
13 15 243 638 
573 672 772 990 
120 126 562 976 
6 42 166 989 
79 112 261 418 
40 208 243 635 
176 407 833 874 
48 387 430 443 
284 389 484 852 
177 737 840 973 
151 297 343 527 
182 373 392 926 
17 777 836 899 
54 105 151 860 
130 311 797 929 
66 125 241 720 
345 436 807 836 
55 286 532 545 
144 324 359 687 
34 60 567 660 
374 472 885 924 
155 286 777 786 
67 156 603 747 
86 299 325 787 
25 532 576 588 
219 232 423 655 
62 471 549 961 
30 255 605 666 
225 250 656 673 
396 605 743 767 
313 370 633 767 
86 146 677 785 
328 477 845 962 
72 289 577 678 
145 207 268 532 
162 370 676 728 
67 122 486 608 
233 687 725 941 
106 262 413 719 
246 259 298 485 
64 628 657 708 
623 636 826 907 
446 591 846 896 
4 309 338 829 
261 288 370 644 
205 285 311 594 
87 187 231 668 
56 583 617 977 
301 467 596 978 
452 483 506 703 
246 403 725 862 
388 448 502 881 
120 123 207 839 
45 211 395 727 
172 197 246 968 
17 83 309 810 
134 244 440 506 
372 684 837 945 
699 751 873 890 
3 59 233 376 
197 323 746 885 
310 693 902 936 
187 352 406 895 
480 536 652 941 
253 413 820 880 
421 608 622 644 
205 775 797 810 
117 861 879 911 
2 388 603 876 
72 420 715 840 
389 417 434 740 
39 255 274 315 
55 63 813 837 
354 358 533 889 
26 170 612 761 
71 445 554 873 
371 543 569 970 
18 156 513 537 
344 410 616 920 
245 621 866 917 
180 549 734 850 
103 239 657 820 
185 196 631 722 
150 197 477 830 
39 307 356 949 
107 238 490 571 
45 246 630 691 
78 416 569 862 
95 299 401 455 
292 328 553 898 
346 933 939 991 
66 188 345 467 
147 362 609 698 
453 459 652 754 
113 183 444 963 
278 503 628 821 
158 681 712 749 
32 66 637 889 
291 524 744 878 
191 372 509 976 
486 607 682 847 
82 99 621 729 
120 419 469 571 
328 346 527 559 
262 357 517 909 
344 357 688 975 
268 285 398 548 
11 152 193 658 
314 326 629 740 
16 131 301 922 
392 499 762 941 
85 463 812 929 
155 227 268 363 
35 289 387 939 
111 299 928 968 
46 344 604 956 
117 298 734 749 
77 430 507 640 
175 562 901 983 
123 410 756 988 
82 165 749 776 
14 140 222 896 
112 614 639 643 
39 176 540 606 
315 612 696 797 
57 219 411 859 
470 499 565 621 
29 475 754 755 
495 501 636 671 
38 348 417 871 
198 468 574 851 
147 521 793 876 
561 586 721 725 
296 514 708 845 
21 170 265 893 
239 247 836 875 
305 331 466 918 
132 173 603 943 
169 636 651 972 
74 427 703 848 
300 375 443 805 
517 553 608 977 
63 341 427 894 
552 672 782 917 
110 558 596 677 
307 516 556 570 
153 424 555 936 
146 484 889 913 
555 783 822 971 
61 223 709 794 
102 290 481 781 
617 739 790 912 
41 327 372 987 
135 354 590 892 
142 402 588 631 
94 298 522 907 
13 150 312 394 
308 726 941 991 
60 196 293 723 
53 332 595 733 
299 337 518 727 
471 524 754 971 
67 583 609 997 
26 425 587 871 
114 266 800 955 
330 363 394 585 
241 668 702 744 
175 232 575 856 
2 249 311 783 
168 197 481 572 
220 283 592 765 
118 329 829 851 
75 211 372 884 
201 460 519 843 
247 355 406 853 
102 802 860 886 
183 720 827 952 
204 228 256 361 
672 748 913 946 
41 601 706 786 
201 637 778 815 
396 444 445 476 
554 802 823 971 
47 622 838 983 
26 534 580 912 
362 454 598 721 
107 364 833 837 
96 216 228 604 
191 354 620 888 
102 595 861 954 
220 386 671 680 
142 545 698 932 
120 223 258 319 
856 882 891 907 
61 298 544 655 
47 530 579 975 
252 269 391 911 
61 718 768 958 
615 833 851 873 
518 709 803 977 
158 368 881 991 
89 226 548 822 
791 844 911 978 
615 659 672 874 
76 237 427 599 
312 344 850 862 
330 369 954 969 
377 510 625 755 
237 594 821 972 
259 384 423 953 
385 506 716 722 
298 725 845 945 
82 724 774 857 
41 233 268 596 
68 231 693 893 
316 525 581 709 
18 57 844 955 
125 216 784 935 
125 245 249 596 
226 432 839 893 
128 369 449 628 
50 168 278 960 
106 836 890 981 
258 332 398 715 
351 424 521 538 
154 393 395 608 
98 351 517 871 
101 213 411 948 
151 316 317 536 
27 72 260 294 
195 232 449 868 
174 197 408 806 
2 7 445 711 
7 22 339 846 
92 169 386 928 
348 667 913 976 
81 146 741 860 
857 884 896 975 
13 88 272 850 
71 289 294 514 
550 893 914 958 
124 405 899 975 
91 232 400 809 
148 197 406 730 
32 204 230 335 
230 475 651 837 
412 493 516 851 
231 414 900 974 
265 273 408 720 
255 508 874 900 
12 164 179 607 
56 276 679 763 
54 628 715 782 
215 616 788 968 
550 723 764 973 
577 747 798 991 
157 473 689 849 
333 478 486 951 
665 873 955 969 
35 718 750 823 
53 532 596 640 
274 298 516 867 
111 247 336 451 
316 541 723 947 
89 443 457 732 
261 910 942 944 
608 613 793 842 
198 515 608 921 
174 241 862 867 
203 602 666 908 
52 741 761 870 
179 619 708 797 
335 522 704 877 
213 471 675 712 
249 437 458 629 
624 653 657 702 
369 398 465 561 
207 354 555 999 
318 554 719 766 
56 175 255 669 
166 310 676 983 
39 189 557 613 
198 340 475 809 
282 464 735 992 
569 581 650 891 
123 130 459 995 
275 305 356 466 
51 347 351 544 
55 401 565 835 
124 306 520 860 
141 562 578 599 
503 626 683 722 
81 249 465 932 
89 412 911 981 
192 410 813 846 
46 174 496 947 
52 121 216 287 
69 93 413 642 
447 482 594 639 
160 168 363 923 
375 826 950 986 
246 269 557 606 
598 744 914 964 
175 201 838 845 
227 446 553 623 
152 161 606 793 
360 545 638 990 
226 486 573 587 
6 165 520 627 
288 424 700 903 
19 228 678 834 
474 527 728 744 
232 290 832 902 
132 429 620 822 
183 211 302 894 
396 597 864 976 
1 534 666 757 
217 457 573 974 
283 671 710 748 
51 186 224 410 
282 304 388 517 
183 411 932 980 
185 230 238 281 
60 203 313 933 
2 371 695 718 
46 128 227 300 
344 715 773 919 
310 687 697 922 
563 613 686 890 
146 388 526 803 
441 474 906 936 
258 550 627 830 
1 70 149 203 
77 258 528 992 
3 5 592 924 
51 465 536 804 
62 134 620 778 
38 631 721 971 
434 555 709 952 
232 473 674 715 
233 678 897 931 
236 513 715 955 
181 480 638 972 
131 338 515 547 
44 511 662 683 
280 293 534 868 
151 521 837 840 
176 352 441 548 
7 81 136 333 
384 505 871 911 
601 809 829 929 
115 362 687 720 
151 548 733 794 
152 480 930 986 
351 399 552 601 
275 415 716 741 
255 257 421 802 
486 582 759 937 
245 492 595 904 
272 304 456 493 
3 264 562 859 
88 105 658 815 
278 442 594 948 
318 796 894 998 
254 359 686 747 
12 48 431 814 
120 182 210 358 
45 166 343 867 
64 427 490 972 
154 245 815 895 
108 347 486 489 
375 414 470 843 
101 327 584 966 
39 106 253 546 
381 481 799 816 
53 463 522 688 
85 271 432 493 
274 423 427 451 
127 723 804 876 
52 116 858 872 
177 442 755 979 
109 264 537 798 
161 461 940 961 
318 428 562 716 
136 204 583 688 
16 252 415 472 
22 191 514 768 
757 816 865 877 
138 390 687 724 
12 128 409 735 
347 548 906 942 
33 244 430 475 
219 468 697 953 
32 638 670 767 
16 248 426 968 
185 493 583 618 
88 182 569 825 
329 667 726 884 
189 731 978 984 
185 283 838 904 
27 262 640 948 
4 39 674 813 
460 482 671 971 
103 208 741 799 
135 460 564 821 
310 633 655 705 
382 505 840 969 
439 638 699 854 
96 651 718 958 
144 262 325 736 
72 95 234 481 
17 433 532 635 
208 409 647 761 
196 551 933 975 
144 201 224 350 
182 502 656 752 
107 333 490 507 
113 713 734 736 
170 259 265 479 
1 50 340 398 
372 581 582 591 
148 186 430 805 
301 560 687 783 
9 131 569 722 
473 766 774 927 
50 96 601 916 
203 518 583 864 
44 248 266 901 
96 418 449 736 
202 598 934 985 
41 91 819 911 
196 797 855 980 
12 688 786 804 
475 730 746 879 
426 456 483 497 
732 735 811 874 
315 474 692 740 
49 646 854 867 
117 191 680 799 
328 562 880 954 
108 191 348 699 
594 761 844 865 
307 786 891 970 
174 651 860 907 
194 196 653 820 
20 529 662 963 
132 251 924 986 
462 695 720 882 
94 281 756 970 
262 279 558 964 
371 794 855 935 
24 308 513 965 
267 450 871 901 
68 138 336 660 
168 207 570 953 
71 557 729 801 
269 503 788 980 
69 296 801 911 
420 500 731 804 
434 771 843 944 
27 301 396 818 
59 133 157 246 
224 283 304 924 
3 273 287 777 
250 380 478 781 
124 165 388 773 
668 792 818 840 
317 599 611 900 
42 326 788 945 
242 349 403 828 
55 221 551 622 
208 264 487 593 
265 515 593 801 
37 140 368 990 
506 628 865 968 
438 460 764 993 
168 204 400 984 
76 374 421 541 
207 369 732 903 
151 161 743 923 
298 343 541 875 
236 425 568 978 
66 541 567 752 
52 145 160 473 
144 159 479 617 
316 319 491 606 
36 540 751 976 
160 688 777 844 
23 105 162 785 
256 516 838 990 
194 491 570 652 
301 675 685 867 
17 529 724 848 
111 321 340 480 
100 145 226 468 
336 494 514 724 
71 420 913 935 
307 379 483 693 
239 288 772 911 
216 495 821 833 
101 372 384 598 
228 292 376 531 
160 421 432 437 
104 219 253 706 
74 259 477 510 
285 357 717 947 
272 334 440 934 
37 261 701 850 
81 233 386 869 
751 842 951 968 
555 764 876 881 
212 254 394 741 
117 167 913 950 
156 181 289 880 
691 694 810 844 
441 660 709 959 
307 346 635 853 
160 191 816 989 
26 417 423 937 
56 558 596 628 
142 207 730 892 
185 477 502 807 
108 145 648 884 
176 560 776 850 
58 414 458 559 
129 458 659 771 
648 793 795 807 
114 222 380 810 
259 282 379 814 
8 482 501 605 
10 69 430 473 
9 123 310 717 
89 210 668 743 
242 350 779 991 
45 451 488 721 
130 159 321 331 
195 352 451 504 
356 591 612 854 
155 447 723 932 
60 67 488 969 
113 253 727 983 
591 769 790 984 
148 311 475 499 
678 874 996 999 
336 620 648 838 
4 447 638 789 
272 725 927 988 
104 676 734 866 
407 511 653 701 
215 624 907 979 
419 589 750 915 
44 77 235 393 
344 506 547 678 
132 230 650 899 
246 266 500 515 
68 300 317 636 
61 67 190 866 
63 409 670 710 
240 287 330 737 
352 466 471 911 
226 370 508 541 
39 225 271 586 
8 189 787 977 
113 254 571 943 
171 317 637 751 
130 482 538 636 
266 427 570 660 
173 427 482 615 
382 581 904 948 
97 339 639 895 
3 259 599 914 
96 377 516 687 
1 246 692 883 
251 272 499 861 
254 535 817 892 
353 501 630 851 
14 135 667 975 
214 334 369 373 
184 385 666 785 
23 95 653 908 
412 585 592 714 
356 420 680 722 
90 296 327 329 
4 457 510 686 
56 203 242 789 
25 415 507 869 
139 162 298 777 
42 865 936 976 
32 445 586 587 
70 292 354 833 
44 489 590 938 
189 526 623 842 
416 565 601 683 
128 331 783 963 
132 388 448 538 
153 232 332 425 
13 241 738 868 
218 334 810 889 
140 359 619 902 
48 90 261 380 
62 351 638 722 
129 150 481 895 
97 371 512 663 
391 474 701 890 
233 450 690 711 
68 334 448 804 
111 123 358 979 
10 12 35 931 
33 126 161 426 
157 566 924 958 
7 425 872 876 
241 437 848 998 
33 123 256 358 
502 529 652 699 
643 756 887 930 
256 401 611 862 
55 224 770 823 
221 604 677 719 
95 371 628 699 
72 271 486 984 
70 760 783 995 
3 46 177 463 
122 295 707 953 
58 120 507 970 
153 307 608 732 
57 277 303 941 
11 162 318 482 
311 563 738 814 
113 384 575 727 
555 815 959 967 
195 508 881 958 
204 289 441 700 
135 201 516 640 
16 127 424 481 
157 289 381 858 
78 284 951 961 
115 128 490 966 
263 336 654 761 
463 524 775 970 
180 828 846 993 
75 376 413 974 
123 335 649 845 
324 644 794 858 
69 409 681 737 
169 367 421 551 
5 233 764 800 
186 195 659 816 
133 569 614 690 
220 252 393 820 
115 453 639 737 
35 184 360 515 
29 463 923 975 
259 328 540 867 
72 340 478 895 
646 925 963 999 
203 313 351 435 
24 118 229 590 
46 391 597 706 
93 262 352 596 
478 579 609 670 
500 798 811 836 
24 162 405 508 
260 537 884 886 
368 664 866 977 
296 785 905 963 
298 405 432 557 
214 472 610 674 
41 768 960 961 
160 381 674 910 
154 173 316 748 
214 333 428 960 
177 237 250 988 
173 497 642 907 
48 128 728 998 
413 436 714 765 
80 303 665 854 
355 363 448 633 
163 555 611 990 
277 363 456 998 
