the 0th hypergraph
314 457 855 
682 797 976 
313 680 795 
187 446 964 
38 233 675 
43 258 878 
709 845 870 
337 706 912 
378 685 780 
190 655 813 
259 370 460 
602 972 994 
124 183 494 
12 567 877 
364 814 816 
740 805 820 
304 306 662 
625 808 907 
57 69 257 
2 385 469 
12 208 650 
5 243 949 
5 739 756 
190 253 990 
383 403 935 
744 761 869 
16 28 890 
57 96 853 
49 81 353 
31 345 526 
67 199 471 
545 596 847 
288 550 575 
65 78 792 
309 692 741 
387 702 845 
21 363 988 
87 266 799 
83 199 495 
67 148 557 
47 346 580 
105 585 726 
398 679 861 
35 154 477 
253 318 636 
340 510 991 
386 782 876 
431 920 983 
207 639 977 
46 165 555 
320 600 619 
47 84 911 
89 592 982 
176 634 650 
57 316 505 
437 561 860 
381 583 824 
57 805 856 
60 179 342 
74 348 614 
236 453 924 
235 271 766 
780 962 985 
171 311 621 
139 240 739 
193 293 847 
301 500 619 
511 678 806 
151 190 242 
15 180 676 
485 758 913 
49 102 600 
38 569 780 
165 530 565 
165 343 751 
19 218 670 
280 379 740 
495 760 989 
19 103 832 
146 433 580 
122 260 446 
111 169 429 
15 233 557 
370 411 886 
206 599 818 
4 38 111 
132 218 599 
235 260 733 
630 848 886 
271 778 912 
283 577 937 
733 800 876 
425 459 755 
428 441 483 
178 561 601 
403 539 585 
210 400 430 
376 451 840 
708 761 769 
168 309 725 
124 766 825 
127 870 945 
387 897 912 
205 326 976 
104 181 925 
497 693 792 
583 811 901 
177 532 881 
160 510 565 
620 770 979 
100 287 703 
388 792 970 
183 446 788 
271 521 608 
75 629 735 
81 362 519 
154 216 670 
172 341 672 
34 698 951 
250 353 578 
3 359 820 
15 107 143 
22 641 864 
43 424 998 
31 264 735 
59 681 928 
108 404 907 
97 129 691 
545 867 970 
158 413 868 
167 241 467 
593 799 895 
136 176 260 
381 791 917 
123 406 774 
160 327 783 
318 588 958 
434 665 881 
83 440 821 
88 251 913 
199 295 851 
124 260 608 
213 465 994 
215 859 875 
62 419 787 
340 827 875 
98 278 962 
316 320 512 
452 600 847 
648 737 762 
249 257 457 
180 279 475 
386 625 953 
35 595 753 
604 617 881 
549 635 885 
367 411 564 
47 723 918 
415 593 651 
44 243 570 
230 266 337 
430 479 591 
362 545 898 
263 570 834 
389 483 688 
25 305 715 
71 93 923 
144 170 878 
210 517 797 
17 508 903 
661 750 797 
32 240 492 
66 106 820 
134 290 966 
69 228 682 
95 749 881 
630 664 771 
445 522 602 
175 379 525 
102 464 518 
91 283 479 
284 367 381 
536 584 664 
298 744 859 
113 472 512 
199 411 883 
676 733 827 
56 625 844 
13 194 696 
169 253 354 
153 667 803 
362 522 880 
475 747 929 
156 232 697 
33 225 586 
225 948 980 
198 218 874 
52 284 931 
245 646 996 
288 328 661 
159 709 997 
316 832 899 
603 696 863 
51 148 154 
325 694 699 
619 661 738 
245 324 921 
567 743 874 
120 644 887 
321 713 931 
2 65 848 
513 529 873 
251 585 880 
611 651 916 
434 679 904 
160 251 843 
388 472 714 
389 775 815 
1 63 735 
306 760 791 
353 656 905 
469 629 968 
249 342 704 
375 740 759 
421 492 941 
122 458 780 
558 671 719 
32 291 584 
344 656 683 
2 309 372 
435 494 718 
294 593 704 
260 273 934 
69 118 573 
33 174 875 
214 245 529 
495 520 810 
463 531 888 
391 747 817 
217 264 280 
380 800 881 
437 733 783 
361 643 781 
728 812 892 
60 172 247 
190 463 697 
115 290 623 
279 505 669 
516 677 703 
11 295 438 
289 540 898 
391 412 850 
70 563 578 
449 773 788 
308 508 913 
262 283 360 
88 289 801 
15 467 911 
286 511 628 
31 333 721 
560 569 837 
232 567 589 
425 644 762 
871 903 928 
77 114 465 
470 760 809 
200 520 892 
233 364 466 
199 213 857 
217 381 631 
42 49 272 
192 672 775 
142 253 553 
90 331 881 
522 640 740 
40 42 642 
98 943 970 
480 597 760 
160 512 651 
535 874 962 
19 708 830 
252 289 643 
2 375 691 
24 148 496 
48 753 886 
48 725 859 
728 833 976 
62 182 302 
302 475 477 
437 510 627 
329 666 966 
150 242 454 
428 573 683 
420 838 961 
440 455 639 
70 154 671 
80 283 919 
336 364 397 
389 545 628 
81 137 871 
35 234 263 
5 296 359 
105 351 840 
111 620 989 
746 810 816 
183 523 875 
51 422 748 
912 946 963 
7 381 988 
191 505 652 
88 450 733 
176 327 484 
729 760 772 
432 472 734 
286 718 815 
227 232 924 
155 216 732 
54 435 856 
306 545 631 
377 736 978 
35 512 787 
61 182 911 
0 760 835 
83 522 920 
248 277 881 
340 500 682 
292 628 725 
197 269 588 
296 673 780 
398 489 667 
335 418 473 
444 763 868 
282 822 942 
443 469 767 
228 733 861 
826 830 848 
374 455 721 
143 318 453 
426 626 680 
88 123 858 
15 723 976 
116 360 564 
233 380 937 
96 481 659 
147 293 665 
12 263 361 
651 666 865 
421 685 697 
1 578 686 
108 501 909 
79 206 783 
324 466 951 
0 39 612 
541 962 997 
321 472 946 
465 541 972 
397 402 421 
520 559 776 
578 645 684 
8 165 333 
381 391 912 
99 364 515 
83 661 742 
323 442 766 
229 414 549 
235 398 750 
313 437 626 
402 570 766 
367 579 696 
223 560 872 
299 581 632 
215 797 971 
685 891 903 
71 248 605 
119 417 535 
515 576 844 
249 510 580 
204 216 478 
57 485 830 
321 406 615 
33 102 985 
177 340 933 
230 473 507 
22 284 712 
134 182 603 
10 614 915 
176 359 801 
561 686 946 
5 332 754 
250 412 781 
46 626 716 
552 942 970 
162 765 981 
410 620 686 
86 612 873 
402 580 981 
207 298 411 
242 522 648 
304 744 899 
314 463 587 
311 515 991 
18 598 690 
524 957 983 
102 211 602 
645 673 790 
495 897 934 
78 408 756 
28 403 613 
387 832 996 
209 233 508 
696 733 774 
345 363 900 
313 478 932 
304 399 710 
430 930 989 
46 138 522 
241 478 535 
9 21 578 
216 688 922 
128 253 502 
153 448 848 
134 792 954 
298 593 610 
27 44 214 
139 142 350 
931 944 949 
537 714 718 
167 357 997 
132 550 829 
121 204 858 
172 583 648 
298 726 995 
180 440 907 
444 508 540 
41 638 761 
35 99 760 
206 282 562 
236 277 302 
258 315 940 
288 417 618 
437 795 807 
45 586 935 
66 726 963 
53 661 824 
162 474 921 
400 548 818 
210 686 901 
89 247 348 
338 638 812 
95 358 535 
41 628 833 
464 722 794 
254 528 999 
50 603 799 
181 301 746 
115 401 881 
453 756 810 
42 60 796 
509 649 918 
268 751 846 
172 566 885 
247 586 790 
29 601 874 
46 800 997 
120 390 430 
6 304 316 
254 718 835 
432 578 619 
171 189 398 
275 477 514 
108 202 305 
353 399 538 
367 570 629 
262 351 621 
34 130 921 
437 507 631 
271 637 925 
107 205 555 
914 982 984 
55 334 664 
51 68 904 
51 335 814 
138 308 811 
119 140 588 
109 278 502 
442 499 826 
231 291 312 
670 794 945 
101 749 840 
225 420 446 
157 208 917 
58 62 323 
42 166 722 
237 331 511 
15 374 634 
361 836 941 
343 822 992 
161 299 324 
219 476 820 
234 732 902 
560 840 886 
13 17 367 
457 491 662 
34 586 636 
106 333 462 
246 382 867 
79 193 989 
278 660 924 
138 388 710 
183 331 664 
360 948 990 
318 617 882 
60 100 716 
303 659 785 
28 148 784 
158 163 655 
45 77 708 
275 353 753 
470 517 786 
33 130 977 
36 551 686 
211 614 904 
357 359 689 
109 241 300 
350 563 992 
224 813 919 
553 578 745 
155 405 953 
212 532 959 
142 547 858 
54 125 865 
188 287 841 
268 467 943 
193 564 831 
135 206 995 
605 793 847 
191 286 855 
234 666 691 
404 604 977 
251 263 278 
563 572 616 
86 526 607 
54 98 839 
153 321 793 
75 113 339 
58 254 794 
309 385 735 
190 335 900 
458 501 931 
197 568 676 
347 381 584 
188 261 706 
159 161 405 
399 503 545 
380 533 554 
599 907 975 
234 621 776 
15 139 884 
18 96 472 
65 84 333 
334 620 850 
83 335 562 
52 861 881 
439 520 737 
266 376 673 
48 790 841 
447 553 915 
91 119 956 
199 467 826 
80 759 807 
0 10 765 
305 590 777 
37 383 830 
169 232 903 
47 129 979 
5 568 653 
90 358 953 
33 114 157 
71 583 829 
246 418 535 
111 339 744 
286 497 563 
9 695 836 
210 568 871 
419 429 468 
223 250 862 
603 770 816 
443 606 700 
360 755 879 
287 378 885 
701 737 804 
157 520 713 
244 634 646 
33 237 461 
609 775 946 
382 617 782 
841 946 971 
353 602 609 
77 436 588 
153 769 958 
83 606 700 
442 656 880 
321 704 985 
335 777 947 
346 553 981 
720 851 929 
146 562 677 
23 226 711 
28 292 923 
89 383 556 
286 372 922 
141 161 756 
10 57 335 
581 632 998 
569 581 765 
45 602 709 
139 423 872 
440 481 554 
192 493 623 
277 647 843 
45 374 955 
79 414 482 
324 479 512 
576 725 940 
159 381 754 
133 464 852 
95 319 396 
235 421 818 
110 744 928 
140 373 638 
235 308 500 
135 312 976 
212 458 600 
120 657 685 
47 160 564 
695 854 988 
185 352 680 
370 738 963 
698 722 735 
151 455 776 
301 373 463 
14 729 906 
44 477 568 
74 212 836 
42 521 763 
68 202 562 
20 618 929 
86 275 383 
44 382 987 
461 870 921 
370 596 793 
491 581 778 
78 204 519 
764 789 803 
80 398 790 
122 358 909 
97 352 988 
95 546 999 
232 375 728 
11 208 573 
86 533 792 
81 139 574 
907 926 948 
29 33 670 
29 240 971 
167 234 796 
16 49 409 
505 566 611 
215 745 912 
172 390 424 
71 592 983 
587 701 946 
90 844 860 
317 397 457 
31 628 830 
151 758 941 
640 752 802 
3 246 316 
174 223 608 
198 213 963 
83 389 753 
140 191 758 
170 497 869 
272 493 547 
948 956 963 
315 555 615 
21 61 272 
280 903 916 
520 730 754 
355 398 949 
549 615 785 
21 44 265 
228 356 648 
618 717 984 
20 82 487 
423 735 751 
196 532 982 
469 758 778 
332 590 971 
95 462 922 
196 287 644 
113 409 992 
11 64 885 
274 552 564 
340 732 748 
381 390 601 
34 608 813 
89 749 867 
457 575 940 
133 147 735 
368 387 601 
88 344 433 
74 428 549 
93 281 856 
467 536 854 
315 785 958 
550 626 692 
163 345 581 
268 527 746 
57 142 989 
75 564 970 
181 491 836 
73 92 277 
102 156 621 
588 724 752 
737 802 994 
523 783 822 
217 292 412 
617 811 980 
274 476 888 
201 446 483 
279 747 760 
4 583 637 
201 240 876 
54 551 889 
203 360 676 
288 394 455 
177 331 476 
611 901 989 
32 202 798 
165 190 648 
173 502 624 
426 653 952 
189 289 607 
38 642 781 
54 305 334 
6 186 896 
81 426 495 
182 209 667 
623 665 750 
364 426 953 
267 336 959 
265 518 655 
10 312 659 
342 641 951 
40 694 742 
222 317 725 
210 777 979 
303 750 993 
107 611 857 
109 153 968 
282 295 402 
141 195 588 
194 308 342 
333 539 634 
47 73 452 
137 616 617 
411 531 574 
430 491 777 
528 705 947 
120 604 895 
53 375 559 
99 109 126 
232 328 808 
229 524 682 
6 329 970 
152 386 789 
64 127 736 
5 186 612 
192 234 666 
486 696 875 
229 919 928 
26 216 808 
690 851 940 
50 95 872 
155 909 987 
126 188 824 
206 321 886 
352 364 924 
224 804 821 
206 469 553 
224 692 864 
451 727 764 
91 395 563 
31 118 144 
432 540 764 
10 666 928 
679 813 967 
340 748 881 
86 203 899 
173 540 645 
172 247 926 
239 732 966 
51 337 391 
555 692 746 
230 830 944 
210 245 641 
228 333 417 
219 758 934 
15 599 870 
203 484 724 
402 677 715 
479 692 872 
211 397 936 
560 614 898 
704 721 733 
157 792 999 
118 357 785 
138 556 719 
141 183 378 
240 826 932 
266 571 608 
471 530 924 
98 808 912 
405 714 784 
146 243 248 
0 152 515 
191 300 448 
48 579 586 
88 532 638 
92 271 930 
489 672 923 
275 350 797 
461 495 563 
5 596 939 
208 874 917 
18 647 981 
620 623 882 
406 791 973 
61 168 840 
291 525 862 
86 530 842 
150 497 755 
243 799 934 
343 410 948 
71 201 692 
167 464 580 
278 461 863 
86 608 809 
508 779 785 
107 744 848 
287 457 943 
20 265 388 
302 514 754 
221 813 881 
477 686 787 
73 692 803 
235 596 943 
297 415 832 
18 242 948 
188 191 550 
289 546 797 
92 401 839 
197 331 468 
291 623 923 
434 539 923 
277 662 933 
471 598 982 
331 575 962 
250 443 885 
33 348 750 
33 346 503 
530 680 834 
356 682 725 
114 985 989 
46 219 327 
131 507 805 
155 443 955 
137 774 958 
58 527 957 
153 583 872 
566 597 711 
532 719 778 
19 448 804 
293 432 943 
14 165 453 
22 455 546 
80 115 869 
214 267 995 
253 358 589 
369 605 737 
31 755 868 
58 398 864 
240 307 479 
293 737 904 
63 644 945 
360 424 976 
124 909 988 
53 145 717 
317 346 654 
212 352 760 
326 430 727 
41 566 931 
301 850 964 
249 270 735 
39 719 757 
129 264 287 
123 317 392 
267 272 774 
146 887 987 
737 829 969 
619 689 807 
7 376 597 
497 675 870 
596 859 911 
556 884 946 
112 773 970 
18 576 928 
496 508 653 
449 640 768 
232 633 904 
178 204 308 
506 577 945 
421 430 457 
322 385 607 
114 395 589 
263 267 523 
24 472 900 
12 205 412 
268 308 428 
393 729 918 
76 82 424 
311 597 853 
40 629 757 
163 166 331 
35 255 801 
175 286 502 
70 150 194 
307 827 959 
320 392 605 
247 275 416 
170 247 838 
286 308 758 
270 744 822 
293 397 819 
70 196 656 
399 755 778 
56 370 742 
40 435 600 
156 270 429 
188 566 766 
460 501 593 
26 129 691 
29 294 747 
463 613 854 
128 477 792 
30 285 349 
456 733 977 
56 404 834 
82 601 684 
108 131 464 
215 466 899 
276 378 518 
164 635 929 
74 108 266 
610 629 899 
693 709 792 
264 488 578 
315 497 693 
138 769 793 
157 192 923 
651 803 925 
391 618 878 
209 503 957 
340 441 710 
44 438 810 
104 627 669 
224 294 892 
694 947 969 
98 808 870 
121 892 970 
24 151 534 
91 125 911 
350 550 773 
180 196 952 
371 688 912 
81 113 618 
274 409 618 
85 115 936 
389 406 544 
181 218 465 
274 508 859 
55 207 564 
336 642 867 
108 305 541 
194 263 782 
130 296 489 
347 395 436 
63 310 744 
42 307 601 
369 470 767 
237 809 989 
21 345 405 
114 744 850 
170 640 750 
271 352 940 
241 621 642 
33 311 877 
746 916 943 
93 360 939 
123 238 352 
49 414 572 
715 770 826 
665 749 902 
5 252 810 
151 330 741 
260 715 869 
210 541 550 
1 168 373 
496 514 662 
23 140 278 
308 808 965 
248 752 939 
568 736 992 
268 659 789 
43 100 763 
116 568 616 
123 124 698 
78 226 519 
244 279 714 
171 360 649 
133 498 536 
7 335 937 
53 129 993 
404 487 782 
168 706 801 
75 771 961 
36 459 614 
14 546 923 
15 864 873 
259 449 650 
463 626 855 
185 221 544 
525 563 662 
20 525 864 
388 719 729 
226 437 582 
63 78 900 
314 424 438 
116 332 363 
316 526 708 
84 239 368 
217 310 451 
187 507 535 
446 474 809 
622 631 680 
320 696 814 
130 489 730 
475 809 843 
18 365 832 
293 480 565 
514 547 809 
288 470 732 
547 676 690 
193 326 678 
8 712 954 
593 947 994 
64 327 826 
248 442 838 
42 275 617 
98 643 729 
23 302 409 
49 592 743 
282 697 831 
446 489 920 
85 104 753 
61 259 475 
120 642 797 
119 720 749 
219 442 492 
163 401 689 
362 674 928 
29 142 444 
136 275 876 
290 747 909 
341 592 719 
231 512 636 
280 401 895 
629 666 686 
37 38 49 
11 439 603 
96 178 426 
9 711 754 
5 182 508 
4 351 846 
52 69 698 
92 165 689 
558 597 741 
183 205 693 
353 427 470 
220 411 671 
255 437 457 
267 414 777 
216 435 550 
291 549 707 
96 302 569 
107 361 737 
95 436 876 
127 257 559 
864 867 981 
607 778 919 
174 363 480 
127 276 978 
160 587 944 
10 103 334 
238 699 716 
275 367 512 
200 830 953 
557 721 837 
375 579 893 
78 578 825 
61 356 680 
281 543 812 
246 619 926 
330 342 939 
106 160 411 
116 566 715 
97 242 605 
479 719 889 
23 492 847 
607 654 942 
249 566 573 
70 417 806 
62 209 939 
6 212 966 
8 320 875 
555 725 815 
416 776 836 
138 207 718 
119 243 615 
171 384 902 
255 638 807 
291 457 728 
134 173 911 
118 723 844 
432 791 837 
57 859 868 
128 343 743 
108 162 551 
36 374 892 
478 625 750 
480 754 939 
22 147 533 
236 345 459 
219 824 993 
13 125 280 
62 535 576 
114 614 635 
174 531 774 
92 401 684 
455 604 743 
15 175 577 
296 683 934 
267 555 738 
171 589 952 
154 739 858 
275 299 412 
214 824 828 
138 273 491 
405 608 938 
111 661 677 
594 934 969 
279 661 687 
235 606 872 
480 767 773 
204 420 483 
382 621 997 
24 669 687 
408 888 982 
151 530 582 
156 786 824 
485 557 985 
491 605 608 
103 278 938 
201 801 805 
370 552 646 
197 355 422 
262 279 955 
144 196 987 
57 917 961 
604 693 948 
464 802 935 
111 902 909 
47 48 690 
77 173 874 
8 345 981 
81 610 938 
415 511 795 
249 334 652 
56 144 217 
246 514 765 
705 789 864 
455 915 956 
67 117 324 
362 707 981 
538 561 905 
409 741 791 
132 508 707 
49 442 716 
168 581 848 
70 192 490 
535 831 945 
182 795 892 
612 794 842 
131 378 667 
271 327 412 
148 558 903 
19 221 603 
197 246 696 
444 625 901 
316 538 770 
9 314 875 
286 805 984 
205 435 652 
4 747 791 
78 86 952 
118 616 739 
143 151 669 
344 900 976 
233 924 980 
398 476 801 
381 553 952 
453 924 945 
303 456 809 
153 414 622 
313 482 626 
264 667 677 
727 915 977 
715 907 988 
315 388 807 
501 637 941 
270 610 784 
538 720 739 
143 160 600 
307 799 923 
64 500 849 
169 241 545 
295 624 979 
101 474 973 
384 923 999 
115 498 552 
667 971 973 
147 683 850 
52 113 134 
250 283 900 
170 182 575 
596 813 961 
30 717 965 
51 268 653 
330 436 448 
41 287 345 
438 936 937 
544 697 940 
585 898 960 
608 913 998 
160 213 428 
211 890 960 
219 310 476 
75 194 493 
87 142 391 
100 289 780 
24 343 969 
494 749 769 
91 362 677 
498 501 551 
171 946 963 
439 715 849 
160 633 763 
81 221 875 
128 617 835 
345 765 919 
130 550 702 
59 476 860 
151 368 508 
495 578 833 
308 490 726 
244 558 922 
639 710 857 
313 881 985 
104 169 612 
349 366 598 
89 414 671 
19 177 303 
286 339 890 
359 610 746 
127 744 986 
563 676 886 
779 809 893 
425 584 665 
20 178 727 
263 372 618 
175 920 962 
148 214 948 
93 608 945 
166 664 886 
173 301 418 
320 340 725 
161 272 319 
301 405 866 
44 468 890 
176 227 434 
102 594 675 
7 132 623 
276 458 731 
84 659 889 
283 785 913 
646 677 880 
564 778 911 
287 364 487 
91 259 566 
178 437 674 
527 695 716 
399 546 721 
527 783 917 
160 755 757 
400 418 520 
116 234 669 
93 207 287 
162 211 742 
536 813 889 
549 636 875 
81 663 824 
825 884 938 
131 159 199 
64 220 902 
76 322 504 
117 827 974 
508 713 942 
69 119 543 
174 635 918 
173 180 682 
520 832 844 
65 257 697 
494 516 738 
284 495 640 
195 462 526 
10 14 964 
28 395 499 
463 704 856 
32 489 586 
12 729 749 
23 332 852 
259 885 936 
82 887 931 
386 704 897 
567 713 911 
517 650 766 
264 629 970 
228 446 823 
107 511 751 
268 277 407 
340 356 831 
23 347 893 
321 592 821 
233 542 777 
187 494 533 
136 188 545 
228 854 981 
328 606 641 
108 192 453 
189 669 781 
438 504 576 
109 369 531 
73 333 940 
229 464 720 
482 543 666 
18 118 546 
62 368 794 
472 482 898 
141 880 888 
528 587 726 
23 407 713 
359 862 871 
73 209 922 
382 657 971 
281 882 908 
256 278 314 
80 791 894 
35 47 663 
155 446 722 
713 755 958 
428 473 527 
77 516 820 
561 629 754 
467 833 946 
218 412 825 
593 682 928 
138 658 807 
354 720 956 
401 494 618 
15 32 279 
4 534 759 
14 185 317 
132 449 754 
758 799 937 
375 710 978 
550 922 962 
275 484 767 
554 559 701 
100 256 588 
237 364 897 
42 242 898 
299 461 753 
562 566 877 
37 355 982 
103 286 292 
76 110 219 
44 586 940 
417 502 948 
320 961 978 
197 405 643 
561 757 916 
283 766 923 
282 319 589 
139 523 719 
366 460 532 
9 87 699 
522 823 869 
334 610 931 
334 384 449 
24 477 929 
271 286 681 
130 511 990 
404 469 668 
280 473 559 
143 486 886 
232 272 378 
4 230 868 
178 285 923 
110 211 392 
140 306 806 
663 761 862 
91 198 773 
391 595 863 
45 194 467 
509 602 729 
